name,description
interpreter,"An interpreter is a program that executes, i.e. performs, instructions written in a programming language. The tag [interpreter] should be applied to questions concerning the programming of interpreters or for questions about the detailed inner workings of interpreters. Use [interpreter-pattern] (possibly with this tag) for questions about the Gang of Four design pattern."
prefix,A prefix is a part of a word attached to a beginning of a word which modifies the meaning of that stem.
knn,"In pattern recognition, k-nearest neighbors (k-NN) is a classification algorithm used to classify example based on a set of already classified examples.
Algorithm:  A case is classified by a majority vote of its neighbors, with the case being assigned to the class most common amongst its K nearest neighbors measured by a distance function. If K = 1, then the case is simply assigned to the class of its nearest neighbor. "
zlib,"zlib is a library used for data compression. Also a crucial component of many software platforms including Linux, Mac OS X, and the iOS"
responsive,"Responsive is a tag to indicate a generic responsive website or web application programming or design topic. It&#39;s a more generic tag than &#39;responsive-design&#39;, and it serves for situations when you&#39;re specifically writing about programming (usually html/css/js). The word &#39;responsive&#39; itself refers to the ability of a web application/website to respond and adapt its dimensions and interactivity across a wide range of devices and screen sizes."
h2,H2 is a relational database management system written in Java. It can be embedded in Java applications or run in the client-server mode. H2 supports regular disk-based as well as in-memory databases.
javabeans,"A javabean is a custom class which often represents real-world data and encapsulates private properties by public getter and setter methods. For example, User, Product, Order, etc."
asp.net-core-mvc,"ASP.NET Core MVC is a lightweight presentation framework for creating dynamic websites with ASP.NET Core. It allows for creating controller based MVC sites, or view model based Razor pages. MVC includes features like routing, model binding and validation, filters, web APIs and the Razor view engine."
uwp,"The Universal Windows Platform is a common software platform for all devices running Windows 10, including Desktop. This tag should be used for questions regarding developing UWP applications on any of the supported device families. Other tags such as the languages being used (C#, C++, etc.) and the style of API (Win32, WinRT, etc.) can be added. Packaged Win32 Applications should use the Desktop-Bridge tag (possibly in addition to UWP)."
go-gorm,"GORM is an ORM library for the programming language Go, developed by jinzhu."
gatling,"Gatling is an open-source load testing framework based on Scala, Akka and Netty."
slidetoggle,slidetoggle is a function of jQuery which displays or hides the matched elements with a sliding motion.
database-administration,"The aspects of database usage not directly related to the insertion and extraction of information, such as security, configuration and performance tuning.  These questions are OFF-TOPIC FOR STACK OVERFLOW; ask them on dba.stackexchange.com instead."
executable,An executable is a binary file that can be executed by the operating system. 
